family,layer,band,band_label,theta,theta_cum,theta_attn,theta_ffn,delta_pr,abs_delta_pr
Qwen2.5-7B,0,band1_factual,Factual,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,-0.013083689207022076,0.013083689207022076
Qwen2.5-7B,1,band1_factual,Factual,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,0.05140899527533005,0.05140899527533005
Qwen2.5-7B,2,band1_factual,Factual,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,0.017916237117654,0.017916237117654
Qwen2.5-7B,3,band1_factual,Factual,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.01807882390597193,0.01807882390597193
Qwen2.5-7B,4,band1_factual,Factual,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.042570972153270326,0.042570972153270326
Qwen2.5-7B,5,band1_factual,Factual,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.016714922231762408,0.016714922231762408
Qwen2.5-7B,6,band1_factual,Factual,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.05332422131751979,0.05332422131751979
Qwen2.5-7B,7,band1_factual,Factual,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.021664267701181572,0.021664267701181572
Qwen2.5-7B,8,band1_factual,Factual,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,0.00585361323029332,0.00585361323029332
Qwen2.5-7B,9,band1_factual,Factual,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,-0.08006443018946996,0.08006443018946996
Qwen2.5-7B,10,band1_factual,Factual,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,-0.07688541330677445,0.07688541330677445
Qwen2.5-7B,11,band1_factual,Factual,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,-0.05530310484079948,0.05530310484079948
Qwen2.5-7B,12,band1_factual,Factual,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,-0.09365721007869787,0.09365721007869787
Qwen2.5-7B,13,band1_factual,Factual,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,-0.07671563099418854,0.07671563099418854
Qwen2.5-7B,14,band1_factual,Factual,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,-0.0557462425588362,0.0557462425588362
Qwen2.5-7B,15,band1_factual,Factual,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,-0.04611073629223306,0.04611073629223306
Qwen2.5-7B,16,band1_factual,Factual,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,-0.03685301928861229,0.03685301928861229
Qwen2.5-7B,17,band1_factual,Factual,1.3217314311436243,1.4567629543561786,1.1915229558944702,1.49534273147583,-0.03485036818028853,0.03485036818028853
Qwen2.5-7B,18,band1_factual,Factual,1.4888089724949427,1.458449586889798,1.4512253403663635,1.538920481999715,-0.04197654578236154,0.04197654578236154
Qwen2.5-7B,19,band1_factual,Factual,1.2691363266536169,1.448983923877989,1.0767298340797424,1.525678316752116,-0.0030730166098251743,0.0030730166098251743
Qwen2.5-7B,20,band1_factual,Factual,1.315147876739502,1.4426107787761562,1.1450111269950867,1.5419968763987224,-0.015572600657348445,0.015572600657348445
Qwen2.5-7B,21,band1_factual,Factual,1.3356072562081474,1.437746982295792,1.1422832012176514,1.5933726628621419,-0.0018681387418979511,0.0018681387418979511
Qwen2.5-7B,22,band1_factual,Factual,1.4322014876774378,1.4375058738341244,1.1826860308647156,1.7648887634277344,0.052993864263342516,0.052993864263342516
Qwen2.5-7B,23,band1_factual,Factual,1.3451416151864188,1.4336573630571365,1.0849691033363342,1.6920382976531982,0.11370263298859307,0.11370263298859307
Qwen2.5-7B,24,band1_factual,Factual,1.2920170341219221,1.4279917498997279,1.160027801990509,1.4680026769638062,0.1218253929999733,0.1218253929999733
Qwen2.5-7B,25,band1_factual,Factual,1.3790566240038191,1.426109629672962,1.2365407347679138,1.5690778096516926,0.10199233139822006,0.10199233139822006
Qwen2.5-7B,26,band1_factual,Factual,1.2879834004810877,1.4209938434065963,1.1214238107204437,1.51006285349528,0.10831521798734478,0.10831521798734478
Qwen2.5-7B,27,band1_factual,Factual,1.2509797981807165,1.4149219132199577,1.157665491104126,1.375398874282837,1.199130293719656,1.199130293719656
Qwen2.5-7B,0,band2_instruction,Instruction,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,0.0382518555694924,0.0382518555694924
Qwen2.5-7B,1,band2_instruction,Instruction,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,-0.043818806129459986,0.043818806129459986
Qwen2.5-7B,2,band2_instruction,Instruction,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,-0.039319893829059094,0.039319893829059094
Qwen2.5-7B,3,band2_instruction,Instruction,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.09368256805890818,0.09368256805890818
Qwen2.5-7B,4,band2_instruction,Instruction,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.22097485099640402,0.22097485099640402
Qwen2.5-7B,5,band2_instruction,Instruction,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.06784134480722503,0.06784134480722503
Qwen2.5-7B,6,band2_instruction,Instruction,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.2854212771100344,0.2854212771100344
Qwen2.5-7B,7,band2_instruction,Instruction,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.2843454390018145,0.2843454390018145
Qwen2.5-7B,8,band2_instruction,Instruction,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,0.35683505466724164,0.35683505466724164
Qwen2.5-7B,9,band2_instruction,Instruction,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,0.3102627460350833,0.3102627460350833
Qwen2.5-7B,10,band2_instruction,Instruction,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,0.7257918524203264,0.7257918524203264
Qwen2.5-7B,11,band2_instruction,Instruction,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,0.7924804722779264,0.7924804722779264
Qwen2.5-7B,12,band2_instruction,Instruction,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,0.7193843738474541,0.7193843738474541
Qwen2.5-7B,13,band2_instruction,Instruction,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,0.7429789789077299,0.7429789789077299
Qwen2.5-7B,14,band2_instruction,Instruction,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,0.3580040239780562,0.3580040239780562
Qwen2.5-7B,15,band2_instruction,Instruction,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,0.3295163885835466,0.3295163885835466
Qwen2.5-7B,16,band2_instruction,Instruction,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,0.014370294191834887,0.014370294191834887
Qwen2.5-7B,17,band2_instruction,Instruction,1.3217314311436243,1.4567629543561786,1.1915229558944702,1.49534273147583,-0.13624530464467188,0.13624530464467188
Qwen2.5-7B,18,band2_instruction,Instruction,1.4888089724949427,1.458449586889798,1.4512253403663635,1.538920481999715,-0.34089905409149246,0.34089905409149246
Qwen2.5-7B,19,band2_instruction,Instruction,1.2691363266536169,1.448983923877989,1.0767298340797424,1.525678316752116,-0.17502032092819952,0.17502032092819952
Qwen2.5-7B,20,band2_instruction,Instruction,1.315147876739502,1.4426107787761562,1.1450111269950867,1.5419968763987224,-0.14398591670493044,0.14398591670493044
Qwen2.5-7B,21,band2_instruction,Instruction,1.3356072562081474,1.437746982295792,1.1422832012176514,1.5933726628621419,0.07519001163141592,0.07519001163141592
Qwen2.5-7B,22,band2_instruction,Instruction,1.4322014876774378,1.4375058738341244,1.1826860308647156,1.7648887634277344,0.12926565844898708,0.12926565844898708
Qwen2.5-7B,23,band2_instruction,Instruction,1.3451416151864188,1.4336573630571365,1.0849691033363342,1.6920382976531982,0.25348342785884004,0.25348342785884004
Qwen2.5-7B,24,band2_instruction,Instruction,1.2920170341219221,1.4279917498997279,1.160027801990509,1.4680026769638062,0.10578084925814579,0.10578084925814579
Qwen2.5-7B,25,band2_instruction,Instruction,1.3790566240038191,1.426109629672962,1.2365407347679138,1.5690778096516926,0.16103733445701618,0.16103733445701618
Qwen2.5-7B,26,band2_instruction,Instruction,1.2879834004810877,1.4209938434065963,1.1214238107204437,1.51006285349528,0.058411745914078494,0.058411745914078494
Qwen2.5-7B,27,band2_instruction,Instruction,1.2509797981807165,1.4149219132199577,1.157665491104126,1.375398874282837,-0.1308554006414946,0.1308554006414946
Qwen2.5-7B,0,band3_creative,Creative,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,0.1715347939209524,0.1715347939209524
Qwen2.5-7B,1,band3_creative,Creative,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,0.05434372522709019,0.05434372522709019
Qwen2.5-7B,2,band3_creative,Creative,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,0.08052001112657914,0.08052001112657914
Qwen2.5-7B,3,band3_creative,Creative,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.08248349915986797,0.08248349915986797
Qwen2.5-7B,4,band3_creative,Creative,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.2459765380966017,0.2459765380966017
Qwen2.5-7B,5,band3_creative,Creative,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.3652427854084861,0.3652427854084861
Qwen2.5-7B,6,band3_creative,Creative,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.6194279590775853,0.6194279590775853
Qwen2.5-7B,7,band3_creative,Creative,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.9264457046024468,0.9264457046024468
Qwen2.5-7B,8,band3_creative,Creative,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,1.2080111796613506,1.2080111796613506
Qwen2.5-7B,9,band3_creative,Creative,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,1.1057212001624475,1.1057212001624475
Qwen2.5-7B,10,band3_creative,Creative,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,1.2594686852113162,1.2594686852113162
Qwen2.5-7B,11,band3_creative,Creative,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,1.1429356416114027,1.1429356416114027
Qwen2.5-7B,12,band3_creative,Creative,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,0.7047433025507583,0.7047433025507583
Qwen2.5-7B,13,band3_creative,Creative,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,0.6627529623388027,0.6627529623388027
Qwen2.5-7B,14,band3_creative,Creative,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,0.9796076885483478,0.9796076885483478
Qwen2.5-7B,15,band3_creative,Creative,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,0.8834938704473627,0.8834938704473627
Qwen2.5-7B,16,band3_creative,Creative,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,0.8679960711378012,0.8679960711378012
Qwen2.5-7B,17,band3_creative,Creative,1.3217314311436243,1.4567629543561786,1.1915229558944702,1.49534273147583,0.995649102987576,0.995649102987576
Qwen2.5-7B,18,band3_creative,Creative,1.4888089724949427,1.458449586889798,1.4512253403663635,1.538920481999715,0.4239986179800521,0.4239986179800521
Qwen2.5-7B,19,band3_creative,Creative,1.2691363266536169,1.448983923877989,1.0767298340797424,1.525678316752116,0.2537750640617169,0.2537750640617169
Qwen2.5-7B,20,band3_creative,Creative,1.315147876739502,1.4426107787761562,1.1450111269950867,1.5419968763987224,0.19240042300395643,0.19240042300395643
Qwen2.5-7B,21,band3_creative,Creative,1.3356072562081474,1.437746982295792,1.1422832012176514,1.5933726628621419,0.32768822825111776,0.32768822825111776
Qwen2.5-7B,22,band3_creative,Creative,1.4322014876774378,1.4375058738341244,1.1826860308647156,1.7648887634277344,0.3541293554669602,0.3541293554669602
Qwen2.5-7B,23,band3_creative,Creative,1.3451416151864188,1.4336573630571365,1.0849691033363342,1.6920382976531982,0.3644414871189907,0.3644414871189907
Qwen2.5-7B,24,band3_creative,Creative,1.2920170341219221,1.4279917498997279,1.160027801990509,1.4680026769638062,0.26294561041988107,0.26294561041988107
Qwen2.5-7B,25,band3_creative,Creative,1.3790566240038191,1.426109629672962,1.2365407347679138,1.5690778096516926,0.1947142422164312,0.1947142422164312
Qwen2.5-7B,26,band3_creative,Creative,1.2879834004810877,1.4209938434065963,1.1214238107204437,1.51006285349528,0.11874472295898819,0.11874472295898819
Qwen2.5-7B,27,band3_creative,Creative,1.2509797981807165,1.4149219132199577,1.157665491104126,1.375398874282837,-0.032943522031889216,0.032943522031889216
Qwen2.5-7B,0,band4_code,Code / Logic,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,0.06730811590575891,0.06730811590575891
Qwen2.5-7B,1,band4_code,Code / Logic,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,0.0012501393675869998,0.0012501393675869998
Qwen2.5-7B,2,band4_code,Code / Logic,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,0.03230639446948613,0.03230639446948613
Qwen2.5-7B,3,band4_code,Code / Logic,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.13097484461747122,0.13097484461747122
Qwen2.5-7B,4,band4_code,Code / Logic,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.14462291181009146,0.14462291181009146
Qwen2.5-7B,5,band4_code,Code / Logic,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.16481335627002913,0.16481335627002913
Qwen2.5-7B,6,band4_code,Code / Logic,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.32450077920412657,0.32450077920412657
Qwen2.5-7B,7,band4_code,Code / Logic,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.31313716679232506,0.31313716679232506
Qwen2.5-7B,8,band4_code,Code / Logic,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,0.321236046885212,0.321236046885212
Qwen2.5-7B,9,band4_code,Code / Logic,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,0.3808746136510317,0.3808746136510317
Qwen2.5-7B,10,band4_code,Code / Logic,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,0.3688680926549308,0.3688680926549308
Qwen2.5-7B,11,band4_code,Code / Logic,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,0.5089269385226789,0.5089269385226789
Qwen2.5-7B,12,band4_code,Code / Logic,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,0.6906658861657755,0.6906658861657755
Qwen2.5-7B,13,band4_code,Code / Logic,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,0.7619686311377114,0.7619686311377114
Qwen2.5-7B,14,band4_code,Code / Logic,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,0.8082043344858256,0.8082043344858256
Qwen2.5-7B,15,band4_code,Code / Logic,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,0.8992042540621652,0.8992042540621652
Qwen2.5-7B,16,band4_code,Code / Logic,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,0.7641952562330463,0.7641952562330463
Qwen2.5-7B,17,band4_code,Code / Logic,1.3217314311436243,1.4567629543561786,1.1915229558944702,1.49534273147583,0.6297318428768763,0.6297318428768763
Qwen2.5-7B,18,band4_code,Code / Logic,1.4888089724949427,1.458449586889798,1.4512253403663635,1.538920481999715,0.4054693681968722,0.4054693681968722
Qwen2.5-7B,19,band4_code,Code / Logic,1.2691363266536169,1.448983923877989,1.0767298340797424,1.525678316752116,0.21125857959866234,0.21125857959866234
Qwen2.5-7B,20,band4_code,Code / Logic,1.315147876739502,1.4426107787761562,1.1450111269950867,1.5419968763987224,0.34356841499724755,0.34356841499724755
Qwen2.5-7B,21,band4_code,Code / Logic,1.3356072562081474,1.437746982295792,1.1422832012176514,1.5933726628621419,0.3958657487855781,0.3958657487855781
Qwen2.5-7B,22,band4_code,Code / Logic,1.4322014876774378,1.4375058738341244,1.1826860308647156,1.7648887634277344,0.42736229572577145,0.42736229572577145
Qwen2.5-7B,23,band4_code,Code / Logic,1.3451416151864188,1.4336573630571365,1.0849691033363342,1.6920382976531982,0.6575536477898369,0.6575536477898369
Qwen2.5-7B,24,band4_code,Code / Logic,1.2920170341219221,1.4279917498997279,1.160027801990509,1.4680026769638062,0.80267394209051,0.80267394209051
Qwen2.5-7B,25,band4_code,Code / Logic,1.3790566240038191,1.426109629672962,1.2365407347679138,1.5690778096516926,0.48746653257757533,0.48746653257757533
Qwen2.5-7B,26,band4_code,Code / Logic,1.2879834004810877,1.4209938434065963,1.1214238107204437,1.51006285349528,0.43364453958256455,0.43364453958256455
Qwen2.5-7B,27,band4_code,Code / Logic,1.2509797981807165,1.4149219132199577,1.157665491104126,1.375398874282837,0.7705506100249258,0.7705506100249258
Qwen2.5-7B,0,band5_dialogue,Dialogue,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,0.08207577209019967,0.08207577209019967
Qwen2.5-7B,1,band5_dialogue,Dialogue,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,0.07865742386917507,0.07865742386917507
Qwen2.5-7B,2,band5_dialogue,Dialogue,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,0.060004507548105046,0.060004507548105046
Qwen2.5-7B,3,band5_dialogue,Dialogue,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.09936340553971412,0.09936340553971412
Qwen2.5-7B,4,band5_dialogue,Dialogue,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,0.13740376068139426,0.13740376068139426
Qwen2.5-7B,5,band5_dialogue,Dialogue,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,0.12415710551738268,0.12415710551738268
Qwen2.5-7B,6,band5_dialogue,Dialogue,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,0.3412577860016901,0.3412577860016901
Qwen2.5-7B,7,band5_dialogue,Dialogue,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,0.4027797044428745,0.4027797044428745
Qwen2.5-7B,8,band5_dialogue,Dialogue,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,0.4462577737683606,0.4462577737683606
Qwen2.5-7B,9,band5_dialogue,Dialogue,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,0.5926434639350084,0.5926434639350084
Qwen2.5-7B,10,band5_dialogue,Dialogue,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,0.4700317750813303,0.4700317750813303
Qwen2.5-7B,11,band5_dialogue,Dialogue,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,0.4054109324194872,0.4054109324194872
Qwen2.5-7B,12,band5_dialogue,Dialogue,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,0.38209639761593284,0.38209639761593284
Qwen2.5-7B,13,band5_dialogue,Dialogue,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,0.44111949992557964,0.44111949992557964
Qwen2.5-7B,14,band5_dialogue,Dialogue,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,0.43153565591966725,0.43153565591966725
Qwen2.5-7B,15,band5_dialogue,Dialogue,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,0.43775750391381596,0.43775750391381596
Qwen2.5-7B,16,band5_dialogue,Dialogue,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,0.46917327416134036,0.46917327416134036
Qwen2.5-7B,17,band5_dialogue,Dialogue,1.3217314311436243,1.4567629543561786,1.1915229558944702,1.49534273147583,0.6406078154124355,0.6406078154124355
Qwen2.5-7B,18,band5_dialogue,Dialogue,1.4888089724949427,1.458449586889798,1.4512253403663635,1.538920481999715,0.5655587289155175,0.5655587289155175
Qwen2.5-7B,19,band5_dialogue,Dialogue,1.2691363266536169,1.448983923877989,1.0767298340797424,1.525678316752116,0.3906934702082552,0.3906934702082552
Qwen2.5-7B,20,band5_dialogue,Dialogue,1.315147876739502,1.4426107787761562,1.1450111269950867,1.5419968763987224,0.275096940598174,0.275096940598174
Qwen2.5-7B,21,band5_dialogue,Dialogue,1.3356072562081474,1.437746982295792,1.1422832012176514,1.5933726628621419,0.21412984396529566,0.21412984396529566
Qwen2.5-7B,22,band5_dialogue,Dialogue,1.4322014876774378,1.4375058738341244,1.1826860308647156,1.7648887634277344,0.2876936967349861,0.2876936967349861
Qwen2.5-7B,23,band5_dialogue,Dialogue,1.3451416151864188,1.4336573630571365,1.0849691033363342,1.6920382976531982,0.3527383858125921,0.3527383858125921
Qwen2.5-7B,24,band5_dialogue,Dialogue,1.2920170341219221,1.4279917498997279,1.160027801990509,1.4680026769638062,0.44478014959704915,0.44478014959704915
Qwen2.5-7B,25,band5_dialogue,Dialogue,1.3790566240038191,1.426109629672962,1.2365407347679138,1.5690778096516926,0.4515100642461869,0.4515100642461869
Qwen2.5-7B,26,band5_dialogue,Dialogue,1.2879834004810877,1.4209938434065963,1.1214238107204437,1.51006285349528,0.5387633037710682,0.5387633037710682
Qwen2.5-7B,27,band5_dialogue,Dialogue,1.2509797981807165,1.4149219132199577,1.157665491104126,1.375398874282837,0.9800218207861429,0.9800218207861429
Qwen2.5-7B,0,band6_counterfactual,Counterfactual,1.9156433514186315,1.9156433514186315,2.070085644721985,1.709720293680827,0.16198233034851484,0.16198233034851484
Qwen2.5-7B,1,band6_counterfactual,Counterfactual,1.4583703790392195,1.6870068652289256,1.2835102677345276,1.6915171941121419,0.06476934702967974,0.06476934702967974
Qwen2.5-7B,2,band6_counterfactual,Counterfactual,1.4526579124586922,1.6088905476388478,1.3498683124780655,1.5897107124328613,0.019994464431748682,0.019994464431748682
Qwen2.5-7B,3,band6_counterfactual,Counterfactual,1.503757323537554,1.5826072416135244,1.4523224532604218,1.5723371505737305,0.022955112225975682,0.022955112225975682
Qwen2.5-7B,4,band6_counterfactual,Counterfactual,1.3534814715385437,1.5367820875985283,1.2957038432359695,1.4305183092753093,-0.062451610708525784,0.062451610708525784
Qwen2.5-7B,5,band6_counterfactual,Counterfactual,1.2954384258815221,1.4965581439790272,1.105137586593628,1.5491728782653809,-0.06684278737952809,0.06684278737952809
Qwen2.5-7B,6,band6_counterfactual,Counterfactual,1.558546279157911,1.5054135918617249,1.4457590728998184,1.708929220835368,-0.1734556503177931,0.1734556503177931
Qwen2.5-7B,7,band6_counterfactual,Counterfactual,1.3406476974487305,1.4848178550601006,1.1014338731765747,1.6595994631449382,-0.5268048794027926,0.5268048794027926
Qwen2.5-7B,8,band6_counterfactual,Counterfactual,1.4828612123216902,1.4846004503113883,1.366025149822235,1.6386426289876301,-0.33711287098928455,0.33711287098928455
Qwen2.5-7B,9,band6_counterfactual,Counterfactual,1.6194794518607003,1.4980883504663196,1.4956473112106323,1.7845889727274578,-0.29632015401261835,0.29632015401261835
Qwen2.5-7B,10,band6_counterfactual,Counterfactual,1.547131563935961,1.502546824418105,1.4552652686834335,1.6696199576059978,-0.10571200685004456,0.10571200685004456
Qwen2.5-7B,11,band6_counterfactual,Counterfactual,1.3645426545824324,1.491046476931799,1.176852285861969,1.61479647954305,0.12411582259489418,0.12411582259489418
Qwen2.5-7B,12,band6_counterfactual,Counterfactual,1.379173687526158,1.48244087774675,1.2066181898117065,1.6092476844787598,-0.22372834823209686,0.22372834823209686
Qwen2.5-7B,13,band6_counterfactual,Counterfactual,1.5394387415477209,1.4865121537325334,1.469552367925644,1.6326205730438232,0.126066967590182,0.126066967590182
Qwen2.5-7B,14,band6_counterfactual,Counterfactual,1.4474591527666365,1.4839086203348069,1.3317402601242065,1.6017510096232097,0.2638024653843196,0.2638024653843196
Qwen2.5-7B,15,band6_counterfactual,Counterfactual,1.3083812849862235,1.4729381618755206,1.145418405532837,1.5256651242574055,0.5380938418455319,0.5380938418455319
Qwen2.5-7B,16,band6_counterfactual,Counterfactual,1.3329911572592599,1.4647059851333877,1.2770807147026062,1.4075384140014648,0.6672147878027586,0.6672147878027586
